Closing Date,City,SP,SqFt,Sale $/SqFt,Age
5/20/2016,DANVILLE,"$1,106,000 ",2253,$491 ,47
1/6/2016,DANVILLE,"$1,073,000 ",2779,$386 ,39
6/10/2016,DANVILLE,"$1,150,000 ",1830,$628 ,33
12/20/2016,DANVILLE,"$965,000 ",3305,$292 ,25
7/15/2016,DANVILLE,"$1,075,000 ",2316,$464 ,39
11/4/2016,DANVILLE,"$1,072,000 ",2275,$471 ,36
5/10/2016,DANVILLE,"$1,150,000 ",2528,$455 ,21
4/1/2016,DANVILLE,"$1,135,000 ",3281,$346 ,26
1/8/2016,DANVILLE,"$1,105,000 ",2935,$376 ,24
8/23/2016,DANVILLE,"$1,040,000 ",2391,$435 ,37
3/3/2016,DANVILLE,"$1,150,000 ",3460,$332 ,18
4/29/2016,DANVILLE,"$1,085,000 ",1836,$591 ,48
6/10/2016,DANVILLE,"$1,100,000 ",2440,$451 ,51
8/31/2016,DANVILLE,"$1,080,000 ",2200,$491 ,40
8/23/2016,DANVILLE,"$1,190,000 ",2565,$464 ,22
5/26/2016,DANVILLE,"$1,100,000 ",2014,$546 ,48
8/19/2016,DANVILLE,"$1,100,000 ",2660,$414 ,26
10/19/2016,DANVILLE,"$1,079,000 ",3278,$329 ,26
11/17/2016,DANVILLE,"$1,120,000 ",2796,$401 ,19
3/31/2016,DANVILLE,"$1,210,000 ",2108,$574 ,41
2/12/2016,DANVILLE,"$1,065,000 ",2387,$446 ,40
1/6/2016,DANVILLE,"$1,100,000 ",2686,$410 ,28
11/10/2016,DANVILLE,"$1,080,000 ",2808,$385 ,21
10/11/2016,DANVILLE,"$1,050,000 ",2023,$519 ,45
1/21/2016,DANVILLE,"$1,099,000 ",3237,$340 ,26
5/25/2016,DANVILLE,"$1,150,000 ",1564,$735 ,13
10/20/2016,DANVILLE,"$1,100,000 ",3100,$355 ,44
5/25/2016,DANVILLE,"$1,020,000 ",2197,$464 ,37
12/16/2016,DANVILLE,"$1,010,000 ",2505,$403 ,9
5/6/2016,DANVILLE,"$1,140,000 ",2663,$428 ,39
3/11/2016,DANVILLE,"$1,150,000 ",2978,$386 ,26
6/8/2016,DANVILLE,"$1,100,000 ",2052,$536 ,58
11/23/2016,DANVILLE,"$1,035,000 ",1856,$558 ,44
11/18/2016,DANVILLE,"$1,000,000 ",2733,$366 ,38
9/29/2016,DANVILLE,"$1,105,000 ",2247,$492 ,47
8/30/2016,DANVILLE,"$1,110,000 ",2281,$487 ,41
2/18/2016,DANVILLE,"$1,115,000 ",2568,$434 ,26
6/14/2016,DANVILLE,"$1,100,000 ",2720,$404 ,10
7/7/2016,DANVILLE,"$1,119,000 ",2402,$466 ,19
4/11/2016,DANVILLE,"$1,160,000 ",3281,$354 ,26
8/5/2016,DANVILLE,"$1,150,000 ",2402,$479 ,19
10/19/2016,DANVILLE,"$1,117,000 ",2643,$423 ,19
11/22/2016,DANVILLE,"$1,267,500 ",2322,$546 ,42
11/10/2016,DANVILLE,"$1,129,000 ",2344,$482 ,36
10/28/2016,DANVILLE,"$1,115,000 ",2509,$444 ,5
3/30/2016,DANVILLE,"$1,175,000 ",2880,$408 ,39
6/20/2016,DANVILLE,"$1,130,000 ",2619,$431 ,22
10/7/2016,DANVILLE,"$1,023,750 ",2168,$472 ,47
6/6/2016,DANVILLE,"$1,117,782 ",2689,$416 ,31
6/30/2016,DANVILLE,"$1,150,000 ",1899,$606 ,36
2/26/2016,DANVILLE,"$1,170,000 ",3102,$377 ,28
9/8/2016,DANVILLE,"$1,135,000 ",2670,$425 ,28
9/29/2016,DANVILLE,"$1,146,500 ",2263,$507 ,49
5/24/2016,DANVILLE,"$1,135,000 ",2171,$523 ,41
6/1/2016,DANVILLE,"$1,215,000 ",2806,$433 ,21
6/13/2016,DANVILLE,"$1,190,000 ",2442,$487 ,22
9/29/2016,DANVILLE,"$1,120,000 ",3087,$363 ,19
6/27/2016,DANVILLE,"$1,075,000 ",2184,$492 ,65
12/8/2016,DANVILLE,"$1,088,000 ",2908,$374 ,21
12/22/2016,DANVILLE,"$1,115,000 ",1910,$584 ,40
12/1/2016,DANVILLE,"$1,125,000 ",2509,$448 ,3
12/30/2016,DANVILLE,"$1,130,000 ",2811,$402 ,28
11/22/2016,DANVILLE,"$1,100,000 ",2867,$384 ,10
2/23/2016,DANVILLE,"$1,145,000 ",3281,$349 ,25
8/16/2016,DANVILLE,"$1,160,000 ",2344,$495 ,37
3/31/2016,DANVILLE,"$1,090,000 ",2858,$381 ,41
5/4/2016,DANVILLE,"$1,286,000 ",3000,$429 ,27
6/30/2016,DANVILLE,"$1,169,000 ",2509,$466 ,2
7/7/2016,DANVILLE,"$1,200,000 ",3148,$381 ,25
11/1/2016,DANVILLE,"$1,145,000 ",2619,$437 ,22
11/29/2016,DANVILLE,"$1,220,000 ",2485,$491 ,49
8/10/2016,DANVILLE,"$1,170,000 ",2289,$511 ,49
2/25/2016,DANVILLE,"$1,250,000 ",1987,$629 ,57
7/28/2016,DANVILLE,"$1,180,000 ",2386,$495 ,45
10/14/2016,DANVILLE,"$1,165,000 ",3278,$355 ,25
12/9/2016,DANVILLE,"$1,135,000 ",3016,$376 ,22
8/15/2016,DANVILLE,"$1,175,000 ",2442,$481 ,39
6/24/2016,DANVILLE,"$1,205,000 ",2363,$510 ,7
9/27/2016,DANVILLE,"$1,166,000 ",2818,$414 ,3
7/22/2016,DANVILLE,"$1,170,000 ",3237,$361 ,27
5/6/2016,DANVILLE,"$1,320,000 ",2266,$583 ,54
4/4/2016,DANVILLE,"$1,185,000 ",2280,$520 ,42
3/24/2016,DANVILLE,"$1,167,500 ",2561,$456 ,34
6/30/2016,DANVILLE,"$1,250,000 ",2434,$514 ,52
7/20/2016,DANVILLE,"$1,189,000 ",3237,$367 ,25
6/3/2016,DANVILLE,"$1,205,000 ",2274,$530 ,43
8/2/2016,DANVILLE,"$1,170,000 ",2289,$511 ,48
5/25/2016,DANVILLE,"$1,218,000 ",2509,$485 ,5
6/9/2016,DANVILLE,"$1,200,000 ",2568,$467 ,21
3/3/2016,DANVILLE,"$1,090,000 ",2913,$374 ,49
7/12/2016,DANVILLE,"$1,155,000 ",2428,$476 ,46
1/5/2016,DANVILLE,"$1,135,000 ",2551,$445 ,47
4/29/2016,DANVILLE,"$1,195,000 ",2562,$466 ,44
6/13/2016,DANVILLE,"$1,250,000 ",2464,$507 ,9
7/6/2016,DANVILLE,"$1,225,000 ",3281,$373 ,25
11/9/2016,DANVILLE,"$1,198,000 ",2859,$419 ,21
8/18/2016,DANVILLE,"$1,175,000 ",2943,$399 ,20
8/30/2016,DANVILLE,"$1,225,000 ",3044,$402 ,21
9/29/2016,DANVILLE,"$1,199,000 ",2921,$410 ,5
9/12/2016,DANVILLE,"$1,225,000 ",2308,$531 ,49
7/12/2016,DANVILLE,"$1,264,000 ",2344,$539 ,37
8/30/2016,DANVILLE,"$1,165,000 ",2885,$404 ,22
6/17/2016,DANVILLE,"$1,250,000 ",2804,$446 ,5
12/5/2016,DANVILLE,"$1,200,000 ",3488,$344 ,24
1/28/2016,DANVILLE,"$1,149,000 ",2402,$478 ,19
6/10/2016,DANVILLE,"$1,210,000 ",3237,$374 ,25
12/22/2016,DANVILLE,"$1,190,000 ",2344,$508 ,34
4/5/2016,DANVILLE,"$1,250,000 ",3066,$408 ,21
4/19/2016,DANVILLE,"$1,225,000 ",2880,$425 ,39
4/15/2016,DANVILLE,"$1,205,000 ",2434,$495 ,37
6/2/2016,DANVILLE,"$1,180,000 ",2344,$503 ,36
7/20/2016,DANVILLE,"$1,160,000 ",2565,$452 ,22
4/28/2016,DANVILLE,"$1,345,000 ",2876,$468 ,17
7/8/2016,DANVILLE,"$1,190,000 ",3278,$363 ,24
6/14/2016,DANVILLE,"$1,250,000 ",3113,$402 ,10
12/5/2016,DANVILLE,"$1,200,000 ",3113,$385 ,37
4/1/2016,DANVILLE,"$1,180,000 ",3237,$365 ,26
10/14/2016,DANVILLE,"$1,185,000 ",3369,$352 ,17
6/21/2016,DANVILLE,"$1,200,000 ",3278,$366 ,24
12/9/2016,DANVILLE,"$1,165,000 ",3369,$346 ,18
1/29/2016,DANVILLE,"$1,187,000 ",2423,$490 ,40
8/23/2016,DANVILLE,"$1,200,000 ",1992,$602 ,68
4/14/2016,DANVILLE,"$1,180,000 ",2509,$470 ,6
10/7/2016,DANVILLE,"$1,175,000 ",3061,$384 ,21
3/25/2016,DANVILLE,"$1,260,000 ",3186,$395 ,10
11/10/2016,DANVILLE,"$1,175,000 ",2425,$485 ,46
12/28/2016,DANVILLE,"$1,210,000 ",3172,$381 ,37
9/19/2016,DANVILLE,"$1,115,000 ",,,53
7/22/2016,DANVILLE,"$1,265,000 ",3349,$378 ,22
6/28/2016,DANVILLE,"$1,205,000 ",2300,$524 ,32
6/30/2016,DANVILLE,"$1,250,000 ",2786,$449 ,43
12/8/2016,DANVILLE,"$1,220,000 ",2834,$430 ,39
8/6/2016,DANVILLE,"$1,220,000 ",3401,$359 ,21
5/13/2016,DANVILLE,"$1,280,000 ",2905,$441 ,24
7/6/2016,DANVILLE,"$1,210,511 ",3401,$356 ,21
7/29/2016,DANVILLE,"$1,230,000 ",3488,$353 ,22
10/17/2016,DANVILLE,"$1,228,000 ",2664,$461 ,40
2/21/2016,DANVILLE,"$1,230,000 ",2320,$530 ,38
5/19/2016,DANVILLE,"$1,205,000 ",2572,$469 ,64
5/4/2016,DANVILLE,"$1,215,000 ",2545,$477 ,39
5/27/2016,DANVILLE,"$1,250,000 ",3281,,24
6/2/2016,DANVILLE,"$1,315,000 ",2369,$555 ,33
5/16/2016,DANVILLE,"$1,220,000 ",2599,$469 ,34
5/26/2016,DANVILLE,"$1,250,000 ",3281,$381 ,24
6/17/2016,DANVILLE,"$1,230,000 ",2696,$456 ,41
7/12/2016,DANVILLE,"$1,352,000 ",2384,$567 ,36
9/8/2016,DANVILLE,"$1,265,000 ",3441,$368 ,25
9/15/2016,DANVILLE,"$1,218,000 ",2297,$530 ,42
8/4/2016,DANVILLE,"$1,159,000 ",2298,$504 ,47
9/29/2016,DANVILLE,"$1,315,000 ",3488,$377 ,22
10/25/2016,DANVILLE,"$1,361,000 ",2423,$562 ,40
4/27/2016,DANVILLE,"$1,280,000 ",2489,$514 ,27
10/4/2016,DANVILLE,"$1,295,000 ",2253,$575 ,58
9/23/2016,DANVILLE,"$1,200,000 ",2434,$493 ,37
3/3/2016,DANVILLE,"$1,220,000 ",2879,$424 ,21
8/25/2016,DANVILLE,"$1,250,000 ",2854,$438 ,27
5/11/2016,DANVILLE,"$1,250,000 ",2409,$519 ,41
4/15/2016,DANVILLE,"$1,262,500 ",2484,$508 ,29
12/22/2016,DANVILLE,"$1,265,000 ",3275,$386 ,22
9/16/2016,DANVILLE,"$1,285,000 ",1584,$811 ,59
10/17/2016,DANVILLE,"$1,245,000 ",3486,$357 ,6
8/11/2016,DANVILLE,"$1,269,000 ",3087,$411 ,19
11/23/2016,DANVILLE,"$1,269,000 ",3460,$367 ,18
9/30/2016,DANVILLE,"$1,270,000 ",3278,$387 ,26
5/19/2016,DANVILLE,"$1,300,000 ",2668,$487 ,40
3/9/2016,DANVILLE,"$1,375,000 ",2505,$549 ,43
7/29/2016,DANVILLE,"$1,250,000 ",2505,$499 ,43
7/12/2016,DANVILLE,"$1,278,000 ",2925,$437 ,2
7/29/2016,DANVILLE,"$1,140,000 ",2094,$544 ,57
8/23/2016,DANVILLE,"$1,280,000 ",2696,$475 ,39
8/5/2016,DANVILLE,"$1,275,000 ",3486,$366 ,10
12/9/2016,DANVILLE,"$1,250,000 ",3408,$367 ,20
5/3/2016,DANVILLE,"$1,260,000 ",2664,$473 ,35
9/23/2016,DANVILLE,"$1,299,000 ",4104,$317 ,14
9/16/2016,DANVILLE,"$1,269,000 ",3985,$318 ,18
5/27/2016,DANVILLE,"$1,275,000 ",3401,$375 ,22
7/22/2016,DANVILLE,"$1,298,563 ",3252,$399 ,9
7/14/2016,DANVILLE,"$1,350,000 ",2924,$462 ,7
4/22/2016,DANVILLE,"$1,375,000 ",2696,$510 ,42
10/20/2016,DANVILLE,"$1,255,000 ",4383,$286 ,12
11/8/2016,DANVILLE,"$1,213,000 ",3360,$361 ,18
3/25/2016,DANVILLE,"$1,300,000 ",3164,$411 ,18
7/6/2016,DANVILLE,"$1,285,000 ",3600,$357 ,9
3/31/2016,DANVILLE,"$1,298,000 ",2772,$468 ,47
11/23/2016,DANVILLE,"$1,275,000 ",3165,$403 ,39
11/23/2016,DANVILLE,"$1,365,000 ",2760,$495 ,41
8/31/2016,DANVILLE,"$1,300,000 ",2359,$551 ,40
1/15/2016,DANVILLE,"$1,190,000 ",2958,$402 ,38
6/22/2016,DANVILLE,"$1,304,000 ",2334,$559 ,43
3/10/2016,DANVILLE,"$1,270,000 ",3821,$332 ,13
3/4/2016,DANVILLE,"$1,450,000 ",3163,$458 ,20
9/2/2016,DANVILLE,"$1,285,000 ",2205,$583 ,58
7/8/2016,DANVILLE,"$1,279,000 ",2027,$631 ,51
9/7/2016,DANVILLE,"$1,295,000 ",3305,$392 ,23
12/15/2016,DANVILLE,"$1,280,000 ",3237,$395 ,25
10/31/2016,DANVILLE,"$1,282,000 ",2360,$543 ,38
9/9/2016,DANVILLE,"$1,260,000 ",3339,$377 ,42
7/14/2016,DANVILLE,"$1,260,000 ",3488,$361 ,23
5/27/2016,DANVILLE,"$1,285,000 ",3454,$372 ,9
12/22/2016,DANVILLE,"$1,281,000 ",2822,$454 ,28
12/28/2016,DANVILLE,"$1,300,000 ",2858,$455 ,42
6/17/2016,DANVILLE,"$1,265,000 ",3260,$388 ,9
12/16/2016,DANVILLE,"$1,285,000 ",3254,$395 ,3
11/18/2016,DANVILLE,"$1,297,000 ",2961,$438 ,25
1/14/2016,DANVILLE,"$1,240,000 ",1956,$634 ,46
5/5/2016,DANVILLE,"$1,280,000 ",2368,$541 ,20
5/27/2016,DANVILLE,"$1,375,000 ",3464,$397 ,23
7/29/2016,DANVILLE,"$1,500,000 ",2551,$588 ,67
3/22/2016,DANVILLE,"$1,300,000 ",2422,$537 ,41
11/8/2016,DANVILLE,"$1,283,750 ",3491,$368 ,22
6/30/2016,DANVILLE,"$1,320,000 ",3103,$425 ,10
7/28/2016,DANVILLE,"$1,323,000 ",3158,$419 ,24
8/10/2016,DANVILLE,"$1,339,000 ",2696,$497 ,40
11/16/2016,DANVILLE,"$1,240,000 ",3542,$350 ,21
5/31/2016,DANVILLE,"$1,400,000 ",2681,$522 ,31
7/7/2016,DANVILLE,"$1,287,500 ",2649,$486 ,39
4/21/2016,DANVILLE,"$1,425,000 ",3252,$438 ,7
5/25/2016,DANVILLE,"$1,470,000 ",2755,$534 ,45
1/19/2016,DANVILLE,"$1,285,000 ",2790,$461 ,28
